Metro,datetime,isPartial,Black Lives Matter,Political Correctness,Make America Great Again,Euthanasia,Starbucks,rel_pop_Black Lives Matter,rel_pop_Political Correctness,rel_pop_Make America Great Again,rel_pop_Euthanasia,rel_pop_Starbucks
Boston-Cambridge-Newton,2014-01-01,False,0.0,0.0,0.0,33.333333333333336,51.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-02-01,False,0.0,0.0,0.0,66.66666666666667,53.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-03-01,False,0.0,0.0,0.0,66.66666666666667,51.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-04-01,False,0.0,0.0,0.0,66.66666666666667,55.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-05-01,False,0.0,0.0,0.0,100.0,63.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-06-01,False,0.0,0.0,0.0,66.66666666666667,59.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-07-01,False,0.0,0.0,0.0,33.333333333333336,58.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-08-01,False,0.0,0.0,0.0,66.66666666666667,60.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-09-01,False,0.0,0.0,0.0,33.333333333333336,57.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-10-01,False,0.0,0.0,0.0,66.66666666666667,52.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-11-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,68.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2014-12-01,False,7.142857142857143,0.0,0.0,66.66666666666667,67.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-01-01,False,10.714285714285714,0.0,0.0,66.66666666666667,59.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-02-01,False,3.5714285714285716,0.0,0.0,33.333333333333336,57.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-03-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,59.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-04-01,False,7.142857142857143,100.0,0.0,100.0,64.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-05-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,63.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-06-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,57.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-07-01,False,10.714285714285714,100.0,0.0,33.333333333333336,54.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-08-01,False,28.571428571428573,0.0,20.0,66.66666666666667,56.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-09-01,False,10.714285714285714,100.0,20.0,33.333333333333336,53.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-10-01,False,14.285714285714286,0.0,20.0,66.66666666666667,61.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-11-01,False,17.857142857142858,100.0,20.0,66.66666666666667,91.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2015-12-01,False,14.285714285714286,0.0,20.0,66.66666666666667,73.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-01-01,False,10.714285714285714,100.0,20.0,33.333333333333336,65.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-02-01,False,21.428571428571427,0.0,40.0,66.66666666666667,63.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-03-01,False,17.857142857142858,0.0,60.0,66.66666666666667,61.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-04-01,False,10.714285714285714,0.0,20.0,100.0,64.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-05-01,False,10.714285714285714,0.0,40.0,66.66666666666667,70.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-06-01,False,3.5714285714285716,0.0,20.0,33.333333333333336,81.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-07-01,False,100.0,100.0,40.0,0.0,78.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-08-01,False,21.428571428571427,0.0,40.0,0.0,70.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-09-01,False,32.142857142857146,100.0,20.0,66.66666666666667,63.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-10-01,False,21.428571428571427,0.0,40.0,66.66666666666667,64.0,28.0,1.0,5.0,3.0,100.0
