Metro,datetime,isPartial,apartment for rent,studio for rent,1 bedroom for rent,3 bedroom for rent,starbucks,rel_pop_apartment for rent,rel_pop_studio for rent,rel_pop_1 bedroom for rent,rel_pop_3 bedroom for rent,rel_pop_starbucks
Boston-Cambridge-Newton,2015-06-01,False,62.5,75.0,33.333333333333336,33.333333333333336,60.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-07-01,False,75.0,50.0,33.333333333333336,0.0,60.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-08-01,False,62.5,25.0,33.333333333333336,100.0,50.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-09-01,False,56.25,25.0,33.333333333333336,33.333333333333336,54.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-10-01,False,50.0,50.0,33.333333333333336,33.333333333333336,61.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-11-01,False,43.75,50.0,0.0,33.333333333333336,90.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-12-01,False,50.0,25.0,33.333333333333336,0.0,72.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-01-01,False,56.25,25.0,33.333333333333336,33.333333333333336,64.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-02-01,False,56.25,50.0,66.66666666666667,66.66666666666667,56.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-03-01,False,75.0,75.0,33.333333333333336,33.333333333333336,57.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-04-01,False,75.0,75.0,66.66666666666667,33.333333333333336,63.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-05-01,False,68.75,75.0,66.66666666666667,66.66666666666667,68.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-06-01,False,56.25,25.0,33.333333333333336,100.0,72.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-07-01,False,68.75,50.0,33.333333333333336,66.66666666666667,79.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-08-01,False,75.0,50.0,33.333333333333336,66.66666666666667,69.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-09-01,False,56.25,75.0,66.66666666666667,33.333333333333336,62.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-10-01,False,50.0,50.0,0.0,0.0,61.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-11-01,False,50.0,25.0,33.333333333333336,33.333333333333336,77.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2016-12-01,False,62.5,50.0,33.333333333333336,33.333333333333336,82.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-01-01,False,68.75,50.0,33.333333333333336,33.333333333333336,63.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-02-01,False,68.75,50.0,33.333333333333336,33.333333333333336,65.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-03-01,False,75.0,75.0,33.333333333333336,33.333333333333336,58.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-04-01,False,62.5,100.0,33.333333333333336,66.66666666666667,88.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-05-01,False,75.0,50.0,33.333333333333336,33.333333333333336,69.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-06-01,False,68.75,75.0,33.333333333333336,100.0,68.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-07-01,False,68.75,75.0,33.333333333333336,66.66666666666667,70.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-08-01,False,68.75,50.0,33.333333333333336,0.0,64.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-09-01,False,62.5,50.0,33.333333333333336,33.333333333333336,66.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-10-01,False,68.75,75.0,66.66666666666667,33.333333333333336,60.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-11-01,False,56.25,50.0,33.333333333333336,33.333333333333336,79.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2017-12-01,False,75.0,75.0,66.66666666666667,33.333333333333336,85.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-01-01,False,68.75,75.0,66.66666666666667,33.333333333333336,64.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-02-01,False,75.0,50.0,66.66666666666667,33.333333333333336,57.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-03-01,False,75.0,75.0,66.66666666666667,66.66666666666667,69.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-04-01,False,87.5,50.0,66.66666666666667,66.66666666666667,82.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-05-01,False,75.0,75.0,33.333333333333336,100.0,75.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-06-01,False,87.5,75.0,33.333333333333336,66.66666666666667,71.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-07-01,False,62.5,50.0,66.66666666666667,33.333333333333336,74.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-08-01,False,75.0,75.0,33.333333333333336,66.66666666666667,74.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-09-01,False,68.75,50.0,33.333333333333336,66.66666666666667,71.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-10-01,False,68.75,75.0,33.333333333333336,100.0,67.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-11-01,False,62.5,75.0,66.66666666666667,33.333333333333336,73.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2018-12-01,False,68.75,75.0,33.333333333333336,33.333333333333336,80.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2019-01-01,False,81.25,75.0,66.66666666666667,66.66666666666667,71.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2019-02-01,False,87.5,50.0,66.66666666666667,66.66666666666667,67.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2019-03-01,False,75.0,100.0,33.333333333333336,33.333333333333336,71.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2019-04-01,False,87.5,50.0,100.0,66.66666666666667,74.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2019-05-01,False,81.25,50.0,66.66666666666667,100.0,100.0,16.0,4.0,3.0,3.0,100.0
