,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1096.6298660955579,1099.0,-2.3701339044421275
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1076.0997491694868,1098.0,-21.900250830513187
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1070.7901157695255,1106.0,-35.20988423047447
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1071.619278376084,1114.0,-42.38072162391609
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1104.0387252990263,1116.0,-11.961274700973718
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1085.9502978611938,1128.0,-42.0497021388062
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1094.2203123361721,1138.0,-43.77968766382787
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1086.9615361067695,1148.0,-61.03846389323053
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1094.1215535367346,1155.0,-60.87844646326539
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1093.764626985721,1175.0,-81.23537301427905
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1073.2936446291455,1161.0,-87.70635537085445
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1066.9006464235667,1155.0,-88.09935357643326
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1106.0131442396064,1115.0,-8.98685576039361
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1082.3621807029112,1119.0,-36.637819297088754
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1081.4108140627131,1131.0,-49.58918593728686
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1086.5801120231374,1136.0,-49.41988797686258
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1109.334162658371,1137.0,-27.665837341628958
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1094.4880584828113,1151.0,-56.51194151718869
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1090.0988068489632,1167.0,-76.90119315103675
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1098.2143426379992,1179.0,-80.78565736200085
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1108.383111003961,1188.0,-79.61688899603905
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1090.8339471581908,1213.0,-122.16605284180923
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1091.8129846151176,1209.0,-117.18701538488244
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1091.1622171294803,1205.0,-113.83778287051973
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1080.8681400326204,1112.0,-31.13185996737957
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1073.3877104080561,1125.0,-51.61228959194386
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1064.9557061739936,1129.0,-64.04429382600642
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1058.7755115584748,1127.0,-68.22448844152518
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1075.1574096774098,1123.0,-47.84259032259024
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1058.1178327123814,1131.0,-72.88216728761859
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1061.061973762833,1137.0,-75.93802623716692
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1057.5970769680393,1145.0,-87.40292303196065
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1059.5459494451977,1149.0,-89.45405055480228
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1058.639828398338,1164.0,-105.36017160166193
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1050.3436882177514,1136.0,-85.65631178224862
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1057.893357234549,1123.0,-65.10664276545094
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1150.5903183161556,1172.0,-21.409681683844383
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1131.893043659816,1179.0,-47.10695634018407
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1128.397091597719,1186.0,-57.602908402280946
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1135.1886502833024,1185.0,-49.81134971669758
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1172.7157328922297,1192.0,-19.284267107770347
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1161.604202537263,1199.0,-37.39579746273694
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1162.537853024032,1202.0,-39.462146975967926
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1153.7755841469714,1201.0,-47.22441585302863
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1156.455987056654,1201.0,-44.54401294334593
285,1085,2019,10,2019-10-01,Westfield,MA,Springfield,Hampden County,2019-10,1138.1673049199771,1192.0,-53.83269508002286
286,1085,2019,11,2019-11-01,Westfield,MA,Springfield,Hampden County,2019-11,1143.49893374825,1191.5,-48.00106625174999
287,1085,2019,12,2019-12-01,Westfield,MA,Springfield,Hampden County,2019-12,1128.449073998806,1191.0,-62.55092600119406
348,1104,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1101.1996090502425,1113.0,-11.800390949757457
349,1104,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1084.2325265432385,1116.0,-31.767473456761536
350,1104,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1081.8341006173548,1125.0,-43.16589938264519
351,1104,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1083.8034818501399,1129.0,-45.19651814986014
352,1104,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1112.4996178970657,1130.0,-17.50038210293428
353,1104,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1072.1293838760278,1135.0,-62.87061612397224
354,1104,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1081.1226815861294,1141.0,-59.877318413870626
355,1104,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1082.9726377240272,1145.0,-62.02736227597279
356,1104,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1078.9044963541808,1154.0,-75.09550364581924
357,1104,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1075.3675814297942,1178.0,-102.6324185702058
358,1104,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1063.3915485648577,1188.0,-124.60845143514234
359,1104,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1076.7656964747694,1193.0,-116.23430352523064
420,1108,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1142.587102978669,1198.0,-55.41289702133099
421,1108,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1128.7025319604222,1206.0,-77.29746803957778
422,1108,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1111.5889128627055,1205.0,-93.41108713729454
423,1108,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1127.945316473742,1200.0,-72.05468352625803
424,1108,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1137.9250172925863,1191.0,-53.07498270741371
425,1108,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1136.2369399590693,1189.0,-52.76306004093067
426,1108,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1125.2533036045693,1189.0,-63.74669639543072
427,1108,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1141.6712973019191,1193.0,-51.32870269808086
428,1108,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1142.8904335420211,1204.0,-61.10956645797887
429,1108,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1141.121684696165,1240.0,-98.87831530383505
430,1108,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1141.4509481850137,1240.0,-98.54905181498634
431,1108,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1164.7777296764853,1240.0,-75.22227032351475
492,1109,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1130.9330773385034,1189.0,-58.06692266149662
493,1109,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1109.9302432070294,1200.0,-90.06975679297057
494,1109,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1106.8504061848112,1199.0,-92.14959381518884
495,1109,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1095.7336559390046,1193.0,-97.26634406099538
496,1109,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1119.6411189688858,1185.0,-65.35888103111415
497,1109,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1103.2842505723108,1183.0,-79.71574942768916
498,1109,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1078.507438231352,1184.0,-105.4925617686481
499,1109,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1083.3492679277392,1187.0,-103.65073207226078
500,1109,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1099.7028744709453,1199.0,-99.29712552905471
501,1109,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1096.0849234945115,1203.5,-107.41507650548851
502,1109,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1092.031512853056,1208.0,-115.96848714694397
503,1109,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1086.839327816765,1237.0,-150.16067218323496
564,1420,2019,1,2019-01-01,Fitchburg,MA,Worcester,Worcester County,2019-01,1224.1580401216759,1252.0,-27.841959878324133
565,1420,2019,2,2019-02-01,Fitchburg,MA,Worcester,Worcester County,2019-02,1207.3460631466778,1276.0,-68.6539368533222
566,1420,2019,3,2019-03-01,Fitchburg,MA,Worcester,Worcester County,2019-03,1210.4580954214002,1297.0,-86.54190457859977
567,1420,2019,4,2019-04-01,Fitchburg,MA,Worcester,Worcester County,2019-04,1221.5196989117267,1310.0,-88.48030108827334
568,1420,2019,5,2019-05-01,Fitchburg,MA,Worcester,Worcester County,2019-05,1221.198192611284,1313.0,-91.80180738871604
569,1420,2019,6,2019-06-01,Fitchburg,MA,Worcester,Worcester County,2019-06,1217.6017542220548,1317.0,-99.39824577794525
570,1420,2019,7,2019-07-01,Fitchburg,MA,Worcester,Worcester County,2019-07,1194.0539937112353,1321.0,-126.94600628876469
571,1420,2019,8,2019-08-01,Fitchburg,MA,Worcester,Worcester County,2019-08,1157.6230529859195,1326.0,-168.37694701408054
572,1420,2019,9,2019-09-01,Fitchburg,MA,Worcester,Worcester County,2019-09,1187.1855691867909,1326.0,-138.81443081320913
573,1420,2019,10,2019-10-01,Fitchburg,MA,Worcester,Worcester County,2019-10,1153.1673438831428,1316.0,-162.83265611685715
574,1420,2019,11,2019-11-01,Fitchburg,MA,Worcester,Worcester County,2019-11,1179.5375859715923,1290.0,-110.4624140284077
575,1420,2019,12,2019-12-01,Fitchburg,MA,Worcester,Worcester County,2019-12,1194.1140043840605,1264.0,-69.88599561593946
636,1440,2019,1,2019-01-01,Gardner,MA,Worcester,Worcester County,2019-01,1167.73523154626,1215.0,-47.26476845374009
637,1440,2019,2,2019-02-01,Gardner,MA,Worcester,Worcester County,2019-02,1158.22910103268,1239.0,-80.77089896731991
638,1440,2019,3,2019-03-01,Gardner,MA,Worcester,Worcester County,2019-03,1158.5812210802367,1244.0,-85.41877891976333
639,1440,2019,4,2019-04-01,Gardner,MA,Worcester,Worcester County,2019-04,1152.1842824393093,1237.0,-84.8157175606907
640,1440,2019,5,2019-05-01,Gardner,MA,Worcester,Worcester County,2019-05,1149.6294987778886,1233.0,-83.37050122211144
641,1440,2019,6,2019-06-01,Gardner,MA,Worcester,Worcester County,2019-06,1147.2217671664532,1233.0,-85.77823283354678
642,1440,2019,7,2019-07-01,Gardner,MA,Worcester,Worcester County,2019-07,1137.0722446792108,1239.0,-101.92775532078917
643,1440,2019,8,2019-08-01,Gardner,MA,Worcester,Worcester County,2019-08,1109.665242942732,1241.0,-131.334757057268
644,1440,2019,9,2019-09-01,Gardner,MA,Worcester,Worcester County,2019-09,1134.5899693211682,1240.0,-105.41003067883184
645,1440,2019,10,2019-10-01,Gardner,MA,Worcester,Worcester County,2019-10,1106.8307777505079,1216.0,-109.16922224949212
646,1440,2019,11,2019-11-01,Gardner,MA,Worcester,Worcester County,2019-11,1122.5046211040885,1212.0,-89.49537889591147
647,1440,2019,12,2019-12-01,Gardner,MA,Worcester,Worcester County,2019-12,1121.1769276556313,1216.0,-94.82307234436871
708,1453,2019,1,2019-01-01,Leominster,MA,Worcester,Worcester County,2019-01,1318.0567109704018,1319.0,-0.9432890295981906
709,1453,2019,2,2019-02-01,Leominster,MA,Worcester,Worcester County,2019-02,1295.911886533212,1315.0,-19.088113466787945
710,1453,2019,3,2019-03-01,Leominster,MA,Worcester,Worcester County,2019-03,1304.2541603663635,1308.0,-3.7458396336364785
711,1453,2019,4,2019-04-01,Leominster,MA,Worcester,Worcester County,2019-04,1291.2031196882103,1307.0,-15.796880311789664
712,1453,2019,5,2019-05-01,Leominster,MA,Worcester,Worcester County,2019-05,1291.4545070439453,1314.0,-22.54549295605466
713,1453,2019,6,2019-06-01,Leominster,MA,Worcester,Worcester County,2019-06,1288.2887308604136,1325.0,-36.71126913958642
714,1453,2019,7,2019-07-01,Leominster,MA,Worcester,Worcester County,2019-07,1271.2810936777805,1331.0,-59.71890632221948
715,1453,2019,8,2019-08-01,Leominster,MA,Worcester,Worcester County,2019-08,1228.3522448872188,1339.0,-110.64775511278117
716,1453,2019,9,2019-09-01,Leominster,MA,Worcester,Worcester County,2019-09,1271.033165636811,1342.0,-70.96683436318904
717,1453,2019,10,2019-10-01,Leominster,MA,Worcester,Worcester County,2019-10,1231.030477827021,1331.0,-99.96952217297894
718,1453,2019,11,2019-11-01,Leominster,MA,Worcester,Worcester County,2019-11,1248.5013067739887,1325.0,-76.49869322601126
719,1453,2019,12,2019-12-01,Leominster,MA,Worcester,Worcester County,2019-12,1242.1287772511114,1322.0,-79.87122274888861
780,1545,2019,1,2019-01-01,Shrewsbury,MA,Worcester,Worcester County,2019-01,1544.1909795190718,1501.0,43.19097951907179
781,1545,2019,2,2019-02-01,Shrewsbury,MA,Worcester,Worcester County,2019-02,1536.0016250220472,1526.0,10.001625022047165
782,1545,2019,3,2019-03-01,Shrewsbury,MA,Worcester,Worcester County,2019-03,1541.9476525998678,1565.0,-23.05234740013225
783,1545,2019,4,2019-04-01,Shrewsbury,MA,Worcester,Worcester County,2019-04,1556.1247355476637,1605.0,-48.875264452336296
784,1545,2019,5,2019-05-01,Shrewsbury,MA,Worcester,Worcester County,2019-05,1561.9487445126952,1620.0,-58.05125548730484
785,1545,2019,6,2019-06-01,Shrewsbury,MA,Worcester,Worcester County,2019-06,1568.1719318896924,1627.0,-58.82806811030764
786,1545,2019,7,2019-07-01,Shrewsbury,MA,Worcester,Worcester County,2019-07,1560.9864068465786,1622.0,-61.013593153421425
787,1545,2019,8,2019-08-01,Shrewsbury,MA,Worcester,Worcester County,2019-08,1516.0196005139408,1611.0,-94.98039948605924
788,1545,2019,9,2019-09-01,Shrewsbury,MA,Worcester,Worcester County,2019-09,1560.6912947635174,1600.0,-39.30870523648264
789,1545,2019,10,2019-10-01,Shrewsbury,MA,Worcester,Worcester County,2019-10,1524.3807823544544,1567.0,-42.61921764554563
790,1545,2019,11,2019-11-01,Shrewsbury,MA,Worcester,Worcester County,2019-11,1543.5702637675747,1552.0,-8.429736232425284
791,1545,2019,12,2019-12-01,Shrewsbury,MA,Worcester,Worcester County,2019-12,1542.7292535716451,1546.0,-3.270746428354869
852,1550,2019,1,2019-01-01,Southbridge,MA,Worcester,Worcester County,2019-01,1198.19485670207,1233.0,-34.805143297930044
853,1550,2019,2,2019-02-01,Southbridge,MA,Worcester,Worcester County,2019-02,1174.9555639252862,1246.0,-71.04443607471376
854,1550,2019,3,2019-03-01,Southbridge,MA,Worcester,Worcester County,2019-03,1175.1855962738941,1252.0,-76.81440372610587
855,1550,2019,4,2019-04-01,Southbridge,MA,Worcester,Worcester County,2019-04,1178.043266701178,1243.0,-64.95673329882197
856,1550,2019,5,2019-05-01,Southbridge,MA,Worcester,Worcester County,2019-05,1180.7450228666423,1230.0,-49.25497713335767
857,1550,2019,6,2019-06-01,Southbridge,MA,Worcester,Worcester County,2019-06,1182.9814753385895,1219.0,-36.01852466141054
858,1550,2019,7,2019-07-01,Southbridge,MA,Worcester,Worcester County,2019-07,1175.155389058307,1216.0,-40.84461094169296
859,1550,2019,8,2019-08-01,Southbridge,MA,Worcester,Worcester County,2019-08,1138.1251962250137,1220.0,-81.87480377498628
860,1550,2019,9,2019-09-01,Southbridge,MA,Worcester,Worcester County,2019-09,1167.9255958115652,1227.0,-59.074404188434755
861,1550,2019,10,2019-10-01,Southbridge,MA,Worcester,Worcester County,2019-10,1127.8518023041624,1233.0,-105.14819769583755
862,1550,2019,11,2019-11-01,Southbridge,MA,Worcester,Worcester County,2019-11,1158.8317914945198,1239.0,-80.16820850548015
863,1550,2019,12,2019-12-01,Southbridge,MA,Worcester,Worcester County,2019-12,1157.8316916358885,1262.0,-104.16830836411145
924,1602,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1378.3311833815278,1390.0,-11.668816618472192
925,1602,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1365.0846464531637,1389.0,-23.915353546836286
926,1602,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1358.198669988211,1394.0,-35.801330011789105
927,1602,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1357.830327584778,1400.0,-42.16967241522207
928,1602,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1355.6395175647017,1405.0,-49.36048243529831
929,1602,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1351.6882549609795,1408.0,-56.31174503902048
930,1602,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1335.9694133571465,1408.0,-72.03058664285345
931,1602,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1299.7605826534884,1408.0,-108.23941734651157
932,1602,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1331.7928157980662,1410.0,-78.20718420193384
933,1602,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1299.149506182333,1410.0,-110.85049381766703
934,1602,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1317.861376567707,1410.0,-92.13862343229289
935,1602,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1319.574790992002,1410.0,-90.42520900799809
996,1603,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1292.957670149199,1301.0,-8.042329850801025
997,1603,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1270.1400864665443,1305.0,-34.85991353345571
998,1603,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1268.6020577871411,1314.0,-45.39794221285888
999,1603,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1275.196570185217,1319.0,-43.80342981478293
1000,1603,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1274.5145855378084,1320.0,-45.48541446219156
1001,1603,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1263.3609505795214,1325.0,-61.639049420478614
1002,1603,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1252.3954158333809,1330.0,-77.60458416661913
1003,1603,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1228.151460417998,1336.0,-107.8485395820021
1004,1603,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1269.7921685995161,1340.0,-70.20783140048388
1005,1603,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1230.8108690543559,1352.0,-121.18913094564414
1006,1603,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1269.529723433171,1335.0,-65.47027656682894
1007,1603,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1274.1040866531866,1330.0,-55.89591334681336
1068,1604,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1325.400853066152,1344.0,-18.599146933848033
1069,1604,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1310.5997836228164,1347.0,-36.4002163771836
1070,1604,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1312.2169263381772,1352.0,-39.783073661822755
1071,1604,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1317.8573744635817,1354.0,-36.142625536418336
1072,1604,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1325.5312104136708,1359.0,-33.468789586329194
1073,1604,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1317.2475813825988,1364.0,-46.75241861740119
1074,1604,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1304.6854382988588,1367.0,-62.3145617011412
1075,1604,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1262.2040201625603,1373.0,-110.79597983743975
1076,1604,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1283.5054870514005,1378.0,-94.49451294859955
1077,1604,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1264.278356472356,1385.0,-120.72164352764389
1078,1604,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1288.0607180419029,1388.0,-99.93928195809713
1079,1604,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1287.0255535030083,1379.0,-91.97444649699173
1140,1605,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1304.9575039759789,1299.0,5.957503975978852
1141,1605,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1299.878567943507,1299.0,0.8785679435070506
1142,1605,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1310.8822621211807,1305.0,5.882262121180702
1143,1605,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1309.6469308666087,1311.0,-1.3530691333912728
1144,1605,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1319.4363549239329,1318.0,1.4363549239328677
1145,1605,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1321.5457406546304,1327.0,-5.4542593453695645
1146,1605,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1293.7608248268161,1336.0,-42.23917517318387
1147,1605,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1241.2405177633532,1345.0,-103.75948223664682
1148,1605,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1279.8011221344964,1354.0,-74.19887786550362
1149,1605,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1235.3955250377903,1350.0,-114.60447496220968
1150,1605,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1276.9080185281807,1350.0,-73.09198147181928
1151,1605,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1281.6747972208636,1347.0,-65.32520277913636
1212,1610,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1319.0331416180745,1320.0,-0.9668583819254764
1213,1610,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1287.0894370791314,1318.0,-30.910562920868642
1214,1610,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1279.248440418621,1318.0,-38.75155958137907
1215,1610,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1298.4470204785464,1320.0,-21.552979521453608
1216,1610,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1303.972688842794,1326.0,-22.027311157205986
1217,1610,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1306.1803483260633,1335.0,-28.819651673936733
1218,1610,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1286.2304723913558,1344.0,-57.76952760864424
1219,1610,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1262.1539789633878,1348.0,-85.84602103661223
1220,1610,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1321.5858113795748,1351.0,-29.414188620425193
1221,1610,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1250.4687533188164,1333.0,-82.53124668118357
1222,1610,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1287.5188249352498,1342.0,-54.48117506475023
1223,1610,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1284.4571849940298,1342.0,-57.54281500597017
1284,1702,2019,1,2019-01-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-01,2302.7238735059354,2277.0,25.723873505935444
1285,1702,2019,2,2019-02-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-02,2311.5901668354527,2294.0,17.590166835452692
1286,1702,2019,3,2019-03-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-03,2335.9860984678944,2293.0,42.98609846789441
1287,1702,2019,4,2019-04-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-04,2360.177893439454,2298.0,62.17789343945378
1288,1702,2019,5,2019-05-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-05,2387.761501884959,2313.0,74.76150188495922
1289,1702,2019,6,2019-06-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-06,2396.7286366095464,2342.0,54.728636609546356
1290,1702,2019,7,2019-07-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-07,2381.3351810814615,2388.0,-6.664818918538458
1291,1702,2019,8,2019-08-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-08,2336.3737254289304,2421.0,-84.62627457106964
1292,1702,2019,9,2019-09-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-09,2379.5457028940605,2427.0,-47.45429710593953
1293,1702,2019,10,2019-10-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-10,2339.8700399500012,2383.0,-43.12996004999877
